Table 1
Global and Hemispheric Mean Aerosol Optical Depth at 550 nm,,,,,
year,/mon , global ,N.Hemis ,S.Hemis,
1850,0.042,0.0044,0.0044,0.0044,
1850,0.125,0.0042,0.0042,0.0042,
1850,0.208,0.0040,0.0040,0.0040,
1850,0.292,0.0039,0.0039,0.0039,
1850,0.375,0.0037,0.0037,0.0037,
1850,0.458,0.0036,0.0036,0.0036,
1850,0.542,0.0034,0.0034,0.0034,
1850,0.625,0.0034,0.0034,0.0034,
1850,0.708,0.0033,0.0033,0.0033,
1850,0.792,0.0032,0.0032,0.0032,
1850,0.875,0.0031,0.0031,0.0031,
1850,0.958,0.0030,0.0030,0.0030,
1851,0.042,0.0030,0.0030,0.0030,
1851,0.125,0.0029,0.0029,0.0029,
1851,0.208,0.0028,0.0028,0.0028,
1851,0.292,0.0027,0.0027,0.0027,
1851,0.375,0.0026,0.0026,0.0026,
1851,0.458,0.0026,0.0026,0.0026,
1851,0.542,0.0025,0.0025,0.0025,
1851,0.625,0.0024,0.0024,0.0024,
1851,0.708,0.0023,0.0023,0.0023,
1851,0.792,0.0022,0.0022,0.0022,
1851,0.875,0.0021,0.0021,0.0021,
1851,0.958,0.0020,0.0020,0.0020,
1852,0.042,0.0019,0.0019,0.0019,
1852,0.125,0.0018,0.0018,0.0018,
1852,0.208,0.0018,0.0018,0.0018,
1852,0.292,0.0017,0.0017,0.0017,
1852,0.375,0.0016,0.0016,0.0016,
1852,0.458,0.0015,0.0015,0.0015,
1852,0.542,0.0014,0.0014,0.0014,
1852,0.625,0.0013,0.0013,0.0013,
1852,0.708,0.0012,0.0012,0.0012,
1852,0.792,0.0011,0.0011,0.0011,
1852,0.875,0.0010,0.0010,0.0010,
1852,0.958,0.0010,0.0010,0.0010,
1853,0.042,0.0009,0.0009,0.0009,
1853,0.125,0.0008,0.0008,0.0008,
1853,0.208,0.0008,0.0008,0.0008,
1853,0.292,0.0007,0.0007,0.0007,
1853,0.375,0.0007,0.0007,0.0007,
1853,0.458,0.0006,0.0006,0.0006,
1853,0.542,0.0006,0.0006,0.0006,
1853,0.625,0.0005,0.0005,0.0005,
1853,0.708,0.0005,0.0005,0.0005,
1853,0.792,0.0005,0.0005,0.0005,
1853,0.875,0.0004,0.0004,0.0004,
1853,0.958,0.0004,0.0004,0.0004,
1854,0.042,0.0004,0.0004,0.0004,
1854,0.125,0.0004,0.0004,0.0004,
1854,0.208,0.0003,0.0003,0.0003,
1854,0.292,0.0003,0.0003,0.0003,
1854,0.375,0.0003,0.0003,0.0003,
1854,0.458,0.0003,0.0003,0.0003,
1854,0.542,0.0003,0.0003,0.0003,
1854,0.625,0.0003,0.0003,0.0003,
1854,0.708,0.0002,0.0002,0.0002,
1854,0.792,0.0002,0.0002,0.0002,
1854,0.875,0.0002,0.0002,0.0002,
1854,0.958,0.0002,0.0002,0.0002,
